invoicedate,totalprice,invoicemonth,hour,day_of_year,week_of_year,weekday,month,is_weekend,is_month_start,is_month_end,is_quarter_start,is_quarter_end,season
2010-12-01 08:26:00,139.12,12,8,335,48,2,12,0,1,0,0,0,Winter
2010-12-01 08:26:00,22.2,12,8,335,48,2,12,0,1,0,0,0,Winter
2010-12-01 08:26:00,348.78000000000003,12,8,335,48,2,12,0,1,0,0,0,Winter
2010-12-01 08:26:00,17.85,12,8,335,48,2,12,0,1,0,0,0,Winter
2010-12-01 08:26:00,801.86,12,8,335,48,2,12,0,1,0,0,0,Winter
2010-12-01 08:26:00,204.0,12,8,335,48,2,12,0,1,0,0,0,Winter
2010-12-01 08:26:00,22.2,12,8,335,48,2,12,0,1,0,0,0,Winter
2010-12-01 08:28:00,259.86,12,8,335,48,2,12,0,1,0,0,0,Winter
2010-12-01 08:28:00,350.4,12,8,335,48,2,12,0,1,0,0,0,Winter
2010-12-01 08:34:00,588.66,12,8,335,48,2,12,0,1,0,0,0,Winter
2010-12-01 08:34:00,22.2,12,8,335,48,2,12,0,1,0,0,0,Winter
2010-12-01 08:34:00,444.98,12,8,335,48,2,12,0,1,0,0,0,Winter
2010-12-01 08:34:00,484.78,12,8,335,48,2,12,0,1,0,0,0,Winter
2010-12-01 08:34:00,430.6,12,8,335,48,2,12,0,1,0,0,0,Winter
2010-12-01 08:34:00,-4.65,12,8,335,48,2,12,0,1,0,0,0,Winter
2010-12-01 08:34:00,489.6,12,8,335,48,2,12,0,1,0,0,0,Winter
2010-12-01 08:34:00,130.85,12,8,335,48,2,12,0,1,0,0,0,Winter
2010-12-01 08:34:00,508.20000000000005,12,8,335,48,2,12,0,1,0,0,0,Winter
2010-12-01 08:34:00,3193.92,12,8,335,48,2,12,0,1,0,0,0,Winter
2010-12-01 08:34:00,226.14000000000001,12,8,335,48,2,12,0,1,0,0,0,Winter
2010-12-01 08:34:00,358.25,12,8,335,48,2,12,0,1,0,0,0,Winter
2010-12-01 08:34:00,1825.74,12,8,335,48,2,12,0,1,0,0,0,Winter
2010-12-01 08:34:00,-141.48000000000002,12,8,335,48,2,12,0,1,0,0,0,Winter
2010-12-01 08:34:00,318.14,12,8,335,48,2,12,0,1,0,0,0,Winter
2010-12-01 08:34:00,79.6,12,8,335,48,2,12,0,1,0,0,0,Winter
2010-12-01 08:35:00,1024.68,12,8,335,48,2,12,0,1,0,0,0,Winter
2010-12-01 08:45:00,507.88,12,8,335,48,2,12,0,1,0,0,0,Winter
2010-12-01 08:45:00,655.36,12,8,335,48,2,12,0,1,0,0,0,Winter
2010-12-01 08:45:00,448.76,12,8,335,48,2,12,0,1,0,0,0,Winter
2010-12-01 08:45:00,17.4,12,8,335,48,2,12,0,1,0,0,0,Winter
2010-12-01 08:45:00,354.23,12,8,335,48,2,12,0,1,0,0,0,Winter
2010-12-01 08:45:00,357.0,12,8,335,48,2,12,0,1,0,0,0,Winter
2010-12-01 08:45:00,177.60000000000002,12,8,335,48,2,12,0,1,0,0,0,Winter
2010-12-01 08:45:00,471.3,12,8,335,48,2,12,0,1,0,0,0,Winter
2010-12-01 08:45:00,326.4,12,8,335,48,2,12,0,1,0,0,0,Winter
2010-12-01 08:45:00,353.14,12,8,335,48,2,12,0,1,0,0,0,Winter
2010-12-01 08:45:00,22.2,12,8,335,48,2,12,0,1,0,0,0,Winter
2010-12-01 08:45:00,783.11,12,8,335,48,2,12,0,1,0,0,0,Winter
2010-12-01 08:45:00,232.03,12,8,335,48,2,12,0,1,0,0,0,Winter
2010-12-01 08:45:00,453.46,12,8,335,48,2,12,0,1,0,0,0,Winter
2010-12-01 08:45:00,390.79,12,8,335,48,2,12,0,1,0,0,0,Winter
2010-12-01 08:45:00,225.7,12,8,335,48,2,12,0,1,0,0,0,Winter
2010-12-01 08:45:00,233.45,12,8,335,48,2,12,0,1,0,0,0,Winter
2010-12-01 08:45:00,666.35,12,8,335,48,2,12,0,1,0,0,0,Winter
2010-12-01 08:45:00,842.12,12,8,335,48,2,12,0,1,0,0,0,Winter
2010-12-01 09:00:00,430.99,12,9,335,48,2,12,0,1,0,0,0,Winter
2010-12-01 09:01:00,312.94,12,9,335,48,2,12,0,1,0,0,0,Winter
2010-12-01 09:01:00,308.0,12,9,335,48,2,12,0,1,0,0,0,Winter
2010-12-01 09:02:00,2474.7400000000002,12,9,335,48,2,12,0,1,0,0,0,Winter
2010-12-01 09:02:00,163.34,12,9,335,48,2,12,0,1,0,0,0,Winter
2010-12-01 09:02:00,223.9,12,9,335,48,2,12,0,1,0,0,0,Winter
2010-12-01 09:02:00,95.28999999999999,12,9,335,48,2,12,0,1,0,0,0,Winter
2010-12-01 09:02:00,130.02,12,9,335,48,2,12,0,1,0,0,0,Winter
2010-12-01 09:02:00,295.5,12,9,335,48,2,12,0,1,0,0,0,Winter
2010-12-01 09:02:00,313.49,12,9,335,48,2,12,0,1,0,0,0,Winter
2010-12-01 09:02:00,4.95,12,9,335,48,2,12,0,1,0,0,0,Winter
2010-12-01 09:02:00,188.56,12,9,335,48,2,12,0,1,0,0,0,Winter
2010-12-01 09:02:00,203.3,12,9,335,48,2,12,0,1,0,0,0,Winter
2010-12-01 09:02:00,70.80000000000001,12,9,335,48,2,12,0,1,0,0,0,Winter
2010-12-01 09:02:00,136.24,12,9,335,48,2,12,0,1,0,0,0,Winter
